url_id,candidate,item,src_group,dest_group,domain,n_src,n_sink,per_lane,src_tiles,src_widths,sink_widths,offends
universe-matrix,all-products,circuit-board,circuit-board#2,processor#30,requires-spray,1,1,1,4,"[4]","[12]",no
universe-matrix,all-products,copper-ingot,copper-ingot#3,circuit-board#2,requires-spray,1,1,1,3,"[3]","[4]",no
universe-matrix,all-products,copper-ingot,copper-ingot#3,magnetic-coil#22,requires-spray,1,1,1,3,"[3]","[4]",no
universe-matrix,all-products,copper-ingot,copper-ingot#3,microcrystalline-component#24,requires-spray,1,1,1,6,"[6]","[16]",no
universe-matrix,all-products,copper-ingot,copper-ingot#3,particle-container#26,requires-spray,1,1,1,6,"[6]","[4]",no
universe-matrix,all-products,critical-photon,critical-photon#4,mass-energy-storage#23,unsprayed,2,1,1,36,"[36, 36]","[10]",no
universe-matrix,all-products,crystal-silicon,crystal-silicon#5,particle-broadband#25,requires-spray,1,1,1,3,"[3]","[12]",no
universe-matrix,all-products,deuterium,deuterium#6,strange-matter#32,requires-spray,1,1,1,10,"[10]","[20]",no
universe-matrix,all-products,diamond,diamond#7,graviton-lens#16,requires-spray,1,1,1,6,"[6]","[8]",no
universe-matrix,all-products,diamond,diamond#7,structure-matrix#33,requires-spray,1,1,1,6,"[6]","[36]",no
universe-matrix,all-products,electric-motor,electric-motor#8,electromagnetic-turbine#10,requires-spray,1,1,1,8,"[8]","[4]",no
universe-matrix,all-products,electromagnetic-matrix,electromagnetic-matrix#9,universe-matrix#37,requires-spray,1,12,12,12,"[12]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",no
universe-matrix,all-products,electromagnetic-turbine,electromagnetic-turbine#10,particle-container#26,requires-spray,1,1,1,4,"[4]","[4]",no
universe-matrix,all-products,energetic-graphite,energetic-graphite#11,diamond#7,requires-spray,1,1,1,6,"[6]","[6]",no
universe-matrix,all-products,energetic-graphite,energetic-graphite#11,energy-matrix#12,requires-spray,1,1,1,6,"[6]","[24]",no
universe-matrix,all-products,energetic-graphite,energetic-graphite#11,graphene#15,requires-spray,1,1,1,9,"[9]","[16]",no
universe-matrix,all-products,energetic-graphite,energetic-graphite#11,plastic#29,requires-spray,1,1,1,9,"[9]","[7]",no
