source	url_id	spec_label	strategy	budget_s	status_batch3	status_batch2	clean_rounds	refused_all_rounds	any_refusal	refusal_class	median_wall_s	median_wall_batch2_s	median_area	median_overshoot_s	median_alns_evaluations	median_budget_unspent_s	median_belt_tiles	median_direct_inserts	machines	groups	strips	recipes	distinct_items	max_ingredients_per_strip	mean_ingredients_per_strip	coaters	items_above_one_belt	both_fed_items	chain_depth	max_spread	sum_spread	max_consumers	items_with_3plus_consumers	proliferator_consumers	proliferator_span	proliferator_spread	max_live_range	sum_live_range	items_live_range_ge3	max_pressure	max_lane_pressure	sum_pressure	lane_pressure_per_strip	max_pressure_no_spray	max_lane_pressure_no_spray	proliferator_live_range
corpus	quantum-chip	all-products	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	25.799	26.247	3300.0	0.0	5.0	0.0	2129.0	0.0	49	15	16	15	26	3	1.75	24	0	0	4	0	0	2	0	24	4	96	4	25	1	11	11	25	0.6875	10	10	4
corpus	quantum-chip	no-proliferator	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	9.267	11.174	5610.0	0.0	5.0	0.0	2142.0	0.0	87	15	20	15	25	3	1.75	0	0	0	4	0	0	2	0	0	0	0	2	21	0	10	10	21	0.5	10	10	0
corpus	quantum-chip	no-proliferator	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	29.981	29.862	3692.0	0.0	7.0	0.0	2059.0	0.0	87	15	20	15	25	3	1.75	0	0	0	4	0	0	2	0	0	0	0	2	21	0	10	10	21	0.5	10	10	0
corpus	quantum-chip	output-products	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	16.993	18.212	4290.0	0.0	10.0	0.0	1836.0	0.0	76	15	19	15	26	3	1.6842	2	0	0	4	0	0	2	0	2	0	0	4	25	1	11	11	25	0.5789	10	10	4
corpus	quantum-chip	output-products	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	31.447	29.877	3280.0	0.0	10.0	0.0	1945.0	0.0	76	15	19	15	26	3	1.6842	2	0	0	4	0	0	2	0	2	0	0	4	25	1	11	11	25	0.5789	10	10	4
corpus	super-magnetic-ring	all-products	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	27.216	27.989	1880.0	0.0	10.0	2.996	1230.0	0.0	35	9	10	9	13	3	1.6	11	0	0	4	6	10	2	0	11	4	44	4	20	3	6	6	20	0.6	5	5	4
corpus	super-magnetic-ring	all-products	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	28.889	29.512	1886.0	0.0	9.0	0.0	1194.0	0.0	35	9	10	9	13	3	1.6	11	0	0	4	6	10	2	0	11	4	44	4	20	3	6	6	20	0.6	5	5	4
corpus	super-magnetic-ring	no-proliferator	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	27.627	28.743	2183.0	0.0	9.0	2.581	1214.0	0.0	58	9	13	9	12	3	1.6154	0	0	0	4	6	10	2	0	0	0	0	4	16	2	5	5	16	0.3846	5	5	0
corpus	super-magnetic-ring	no-proliferator	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	29.438	29.358	2294.0	0.0	9.0	0.0	1281.0	0.0	58	9	13	9	12	3	1.6154	0	0	0	4	6	10	2	0	0	0	0	4	16	2	5	5	16	0.3846	5	5	0
corpus	super-magnetic-ring	output-products	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	28.346	29.186	2052.0	0.0	9.0	1.943	1258.0	0.0	52	9	13	9	13	3	1.6154	3	0	0	4	6	10	2	0	3	3	9	4	20	3	6	6	20	0.4615	5	5	4
corpus	super-magnetic-ring	output-products	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	29.463	28.952	2016.0	0.0	12.0	0.0	1329.0	0.0	52	9	13	9	13	3	1.6154	3	0	0	4	6	10	2	0	3	3	9	4	20	3	6	6	20	0.4615	5	5	4
corpus	universe-matrix	all-products	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	27.705	26.529	29744.0	0.0	3.0	6.566	15046.0	0.0	113	38	46	38	50	6	1.8478	47	0	2	8	16	52	4	7	47	8	376	8	98	12	18	18	98	0.3913	17	17	8
corpus	universe-matrix	all-products	sequence-pair	30.0	CLEAN/REFUSED/CLEAN	CLEAN/REFUSED/CLEAN	2	0	1	island-deadline	32.187	33.448	28242.5	0.0	3.0	0.0	14434.0	0.0	113	38	46	38	50	6	1.8478	47	0	2	8	16	52	4	7	47	8	376	8	98	12	18	18	98	0.3913	17	17	8
corpus	universe-matrix	no-proliferator	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	31.863	33.019	31898.0	0.0	4.0	1.839	11238.0	0.0	224	38	57	38	49	6	1.8421	0	1	1	8	16	52	4	7	0	0	0	7	90	11	17	17	90	0.2982	17	17	0
corpus	universe-matrix	no-proliferator	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	31.9	33.017	17836.0	0.0	4.0	0.0	9401.0	0.0	224	38	57	38	49	6	1.8421	0	1	1	8	16	52	4	7	0	0	0	7	90	11	17	17	90	0.2982	17	17	0
corpus	universe-matrix	output-products	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	28.5	30.804	22464.0	0.0	6.0	4.677	10588.0	0.0	193	38	53	38	50	6	1.8113	6	0	1	8	16	52	4	7	6	0	0	8	98	12	18	18	98	0.3396	17	17	8
corpus	universe-matrix	output-products	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	30.95	32.013	16340.0	0.0	5.0	0.0	8873.0	0.0	193	38	53	38	50	6	1.8113	6	0	1	8	16	52	4	7	6	0	0	8	98	12	18	18	98	0.3396	17	17	8
large	belt3	all-products	freeform	80.0	CLEAN/CLEAN	CLEAN/CLEAN	2	0	0	clean	44.828	46.888	14430.0		11.0		8065.0		280	13	52	13	19	3	1.6154	12	4	0	5	6	11	3	1	12	4	48	5	29	4	7	11	29	0.2115	6	10	4
large	belt3	all-products	sequence-pair	80.0	CLEAN/CLEAN	CLEAN/CLEAN	2	0	0	clean	71.954	68.121	13235.0		4.0		7733.0		280	13	52	13	19	3	1.6154	12	4	0	5	6	11	3	1	12	4	48	5	29	4	7	11	29	0.2115	6	10	4
large	belt3	no-proliferator	freeform	80.0	REFUSED/REFUSED	REFUSED/REFUSED	0	1	1	pack-unwirable	42.806	45.419			0.0		0.0		537	13	90	13	18	3	1.5111	0	8	0	5	6	11	3	1	0	0	0	5	25	3	6	15	25	0.1667	6	15	0
large	belt3	no-proliferator	sequence-pair	80.0	REFUSED/REFUSED	REFUSED/REFUSED	0	1	1	island-deadline+belt-capacity	73.286	69.331			0.0		0.0		537	13	90	13	18	3	1.5111	0	8	0	5	6	11	3	1	0	0	0	5	25	3	6	15	25	0.1667	6	15	0
large	mall	all-products	freeform	80.0	REFUSED/REFUSED	REFUSED/REFUSED	0	1	1	pack-unwirable	31.512	32.35			0.0		0.0		449	33	95	33	43	5	1.7474	31	4	0	5	14	67	7	9	31	5	155	5	65	10	16	20	65	0.2105	15	19	5
large	mall	all-products	sequence-pair	80.0	REFUSED/REFUSED	REFUSED/REFUSED	0	1	1	island-deadline	64.101	68.99			0.0		0.0		449	33	95	33	43	5	1.7474	31	4	0	5	14	67	7	9	31	5	155	5	65	10	16	20	65	0.2105	15	19	5
large	mall	no-proliferator	freeform	80.0	REFUSED/REFUSED	REFUSED/REFUSED	0	1	1	pack-never-produced	0.578	0.621			0.0		0.0		935	33	178	33	42	5	1.573	0	9	0	5	14	67	7	9	0	0	0	5	60	9	15	25	60	0.1404	15	25	0
large	mall	no-proliferator	sequence-pair	80.0	REFUSED/REFUSED	REFUSED/REFUSED	0	1	1	island-deadline+belt-capacity	72.799	61.231			0.0		0.0		935	33	178	33	42	5	1.573	0	9	0	5	14	67	7	9	0	0	0	5	60	9	15	25	60	0.1404	15	25	0
large	zurl2	all-products	freeform	80.0	REFUSED/REFUSED	REFUSED/REFUSED	0	1	1	validator-belt-capacity	72.403	76.829			0.0		0.0		436	32	85	32	46	5	1.7882	38	4	1	5	12	41	6	5	38	5	190	5	73	8	20	24	73	0.2824	19	23	5
large	zurl2	all-products	sequence-pair	80.0	CLEAN/CLEAN	REFUSED/REFUSED	2	0	1	clean	68.894	58.995	41580.0		4.0		23126.0		436	32	85	32	46	5	1.7882	38	4	1	5	12	41	6	5	38	5	190	5	73	8	20	24	73	0.2824	19	23	5
large	zurl2	no-proliferator	freeform	80.0	REFUSED/REFUSED	REFUSED/REFUSED	0	1	1	pack-never-produced	0.511	0.672			0.0		0.0		868	32	160	32	45	5	1.6313	0	9	1	5	12	41	6	5	0	0	0	5	68	7	19	30	68	0.1875	19	30	0
large	zurl2	no-proliferator	sequence-pair	80.0	REFUSED/REFUSED	REFUSED/REFUSED	0	1	1	island-deadline+belt-capacity	70.991	65.998			0.0		0.0		868	32	160	32	45	5	1.6313	0	9	1	5	12	41	6	5	0	0	0	5	68	7	19	30	68	0.1875	19	30	0
